"","Value","Count","MapCode","Name","Biome","Bioregion","Nat.1750km2","Nat.1990km2","Nat.2014km2","Nat.2018km2","Nat.2020km2","Nat.2022km2","Nat.2040ard_90.22","Natlost.2022km2","Natlost.90_22km2","SeconNat.2022km2","ArtWtrBodies.2022km2","Builtup.2022km2","Croplands.2022km2","Mines.2022km2","Plantation.2022km2","ARD14.22","ARD18.22","ARD20.22","ARD90.14","ARD90.18","ARD90.20","ARD90.22","EOOkm2","AOO occ","AOO1prc","PrcNat.2022","PrcNat.2040ard_1990.2022","PrcNatlost.2022","PrcNatlost.2040ard_90.22","PrcDeclyr90.22","PrcSeconNat.2022","PrcArtWtrBodies.2022","PrcBuiltup.2022","PrcCroplands.2022","PrcMines.2022","PrcPlantation.2022","Status90.22","EOOstatus.size","AOOstatus.size","A2b","A3","B1i","B2i","RLEcore","ThrExcl.core","Basis.RLEcore"
"1",1,1009,"AT15","Albany Arid Thicket","Albany Thicket","Albany Thicket",14.6032,14.5892,14.5892,14.5832,14.578,14.5772,14.57,0.026,0.00082252625229625,0.0228,0.002,0.0012,0,0,0,0.00150000000000006,0.00150000000000006,0.000399999999999956,0,0.000214285714285722,0.000373333333333351,0.000375000000000014,45.8173298765259,5,4,100,100,0,0,0,0,0,0,0,0,0,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"2",2,3733,"AT16","Albany Bontveld","Albany Thicket","Albany Thicket",53.7696,51.6692,51.5364,51.2256,51.1788,51.1624,50.88,2.6072,0.00980855132264479,1.5216,0.0668,0.0896,0.3796,0.5496,0,0.0467500000000003,0.0158000000000005,0.00820000000000221,0.00553333333333317,0.015842857142857,0.0163466666666665,0.0158374999999999,159.198441418884,7,4,95,98,5,2,0,3,0,0,1,1,0,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"3",3,50628,"AT17","Albany Mesic Thicket","Albany Thicket","Albany Thicket",729.2008,596.4412,583.7288,577.326,576.6572,576.5304,565.33,152.6704,0.0333826704124396,47.6632,0.4692,5.2008,97.416,0.0904,1.8308,0.899799999999999,0.198900000000009,0.0634000000000015,0.529683333333333,0.682685714285713,0.659466666666666,0.6222125,4475.5552374104,48,44,79,95,21,5,0.1,7,0,1,13,0,0,"Stable","EN","VU","LC","LC","LC","LC","LC","",""
"4",4,81653,"AT18","Albany Valley Thicket","Albany Thicket","Albany Thicket",1175.6416,1053.0316,1042.0228,1036.2828,1035.1144,1034.6744,1024.35,140.9672,0.0174327152195622,46.7668,0.414,2.1252,90.7156,0.0148,0.9308,0.918549999999982,0.402099999999962,0.219999999999914,0.458700000000003,0.598171428571431,0.597240000000003,0.573662499999998,5896.25967372693,60,55,88,97,12,3,0.1,4,0,0,8,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"5",5,74865,"AT19","Baviaans Valley Thicket","Albany Thicket","Albany Thicket",1077.9512,1066.3592,1064.8824,1062.562,1062.0908,1061.9252,1059.43,16.026,0.00415807356470521,6.8368,1.898,1.5776,5.6944,0.0132,0.006,0.369650000000007,0.159199999999998,0.0828000000000202,0.0615333333333391,0.135614285714293,0.142280000000005,0.138562500000006,13147.0364021671,87,75,99,99,1,1,0,1,0,0,1,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
"6",6,2475,"AT20","Bethelsdorp Bontveld","Albany Thicket","Albany Thicket",35.508,22.1748,20.9896,20.0168,19.996,19.9524,18.7,15.5556,0.100221873478002,2.254,0.088,12.8208,0,0.3908,0.002,0.12965,0.0160999999999998,0.0217999999999989,0.0493833333333334,0.0770714285714286,0.0726266666666668,0.06945,114.768485564148,5,3,56,84,44,16,0.3,6,0,36,0,1,0,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"7",7,26816,"AT21","Buffels Mesic Thicket","Albany Thicket","Albany Thicket",386.344,321.1432,315.4868,311.7344,311.3824,310.9084,305.15,75.4356,0.0318698948008241,17.9412,9.056,18.4244,29.8064,0.0752,0.1324,0.572300000000006,0.206500000000005,0.237000000000023,0.235683333333332,0.336028571428571,0.325359999999999,0.3198375,2320.58163190735,29,26,80,95,20,5,0.1,5,2,5,8,0,0,"Stable","EN","VU","LC","LC","LC","LC","LC","",""
"8",8,14989,"AT22","Buffels Valley Thicket","Albany Thicket","Albany Thicket",215.4536,109.56,97.9892,93.7252,93.1344,92.4472,82.82,123.0064,0.156195691858343,33.026,3.5876,42.3112,43.9156,0.118,0.048,0.69275,0.319500000000001,0.343600000000002,0.482116666666667,0.565528571428571,0.54752,0.534775,949.133580199829,14,13,43,76,57,24,0.5,15,2,20,20,0,0,"Decline","CR","EN","LC","VU","CR","EN","CR","CR","B1i"
"9",9,21618,"AT23","Crossroads Grassland Thicket","Albany Thicket","Albany Thicket",311.1784,272.4756,270.6688,268.5728,268.4168,268.26,265.89,42.9184,0.0154714770790485,22.5468,0.124,9.1092,11.0296,0.0048,0.104,0.301099999999998,0.0781999999999954,0.0784000000000162,0.0752833333333337,0.139385714285715,0.135293333333332,0.1317375,1798.04818755334,22,18,86,98,14,2,0,7,0,3,4,0,0,"Stable","CR","EN","LC","LC","LC","LC","LC","",""
"10",10,206645,"AT24","Doubledrift Karroid Thicket","Albany Thicket","Albany Thicket",2976.0508,2631.7184,2617.0064,2601.754,2600.2324,2598.026,2579.07,378.0248,0.0128024335734402,168.8468,2.032,54.8364,150.878,0.0528,1.3788,2.37255000000005,0.932000000000016,1.10320000000002,0.613,1.07015714285715,1.04953333333334,1.05288750000001,11841.5457806952,83,74,87,98,13,2,0,6,0,2,5,0,0,"Stable","EN","LC","LC","LC","LC","LC","LC","",""
